ID,DGP,EV
v5_2019_2_20_12.83_8905_8905_8905,1.000000,22109.153840
v5_2019_2_20_12.33_8905_8905_8905,1.000000,18978.170639
v5_2019_2_20_11.42_8905_8905_8905,1.000000,23111.750274
v5_2019_2_20_10.25_8905_8905_8905,1.000000,33145.019941
v5_2019_2_20_12.75_8905_8905_8905,1.000000,22766.132270
v5_2019_2_20_10.33_8905_8905_8905,1.000000,31650.116191
v5_2019_2_20_12.25_8905_8905_8905,1.000000,24610.445091
v5_2019_2_20_12.58_8905_8905_8905,1.000000,24844.714016
v5_2019_2_20_10.75_8905_8905_8905,1.000000,31853.897671
v5_2019_2_20_11.17_8905_8905_8905,1.000000,28079.771975
v5_2019_2_20_10.58_8905_8905_8905,1.000000,28753.959719
v5_2019_2_20_11.0_8905_8905_8905,1.000000,27993.177078
v5_2019_2_20_11.5_8905_8905_8905,1.000000,27713.079191
v5_2019_2_20_11.75_8905_8905_8905,1.000000,22041.376047
v5_2019_2_20_11.58_8905_8905_8905,1.000000,28584.889582
v5_2019_2_20_13.0_8905_8905_8905,1.000000,19857.310579
v5_2019_2_20_11.67_8905_8905_8905,1.000000,23049.135356
v5_2019_2_20_11.08_8905_8905_8905,1.000000,26781.701414
v5_2019_2_20_12.5_8905_8905_8905,1.000000,22503.246202
v5_2019_2_20_11.83_8905_8905_8905,1.000000,20881.730286
v5_2019_2_20_11.25_8905_8905_8905,1.000000,29295.854397
v5_2019_2_20_10.42_8905_8905_8905,1.000000,28701.298307
v5_2019_2_20_12.42_8905_8905_8905,1.000000,19141.257653
v5_2019_2_20_11.92_8905_8905_8905,1.000000,19204.797207
v5_2019_2_20_12.92_8905_8905_8905,1.000000,18594.490256
v5_2019_2_20_11.33_8905_8905_8905,1.000000,24585.308028
v5_2019_2_20_10.92_8905_8905_8905,1.000000,30277.621111
v5_2019_2_20_12.08_8905_8905_8905,1.000000,23910.977041
v5_2019_2_20_10.67_8905_8905_8905,1.000000,29987.431315
v5_2019_2_20_12.0_8905_8905_8905,1.000000,19680.109959
v5_2019_2_20_10.5_8905_8905_8905,1.000000,28740.105948
v5_2019_2_20_12.17_8905_8905_8905,1.000000,26003.548454
v5_2019_2_20_12.67_8905_8905_8905,1.000000,25524.678556
v5_2019_2_20_10.83_8905_8905_8905,1.000000,31979.470400
v5_2019_2_25_10.33_8906_8906_8906,1.000000,9302.284180
v5_2019_2_25_10.58_8906_8906_8906,1.000000,10993.460341
v5_2019_2_25_10.5_8906_8906_8906,1.000000,10241.072454
v5_2019_2_25_11.0_8906_8906_8906,1.000000,10572.126407
v5_2019_2_25_11.17_8906_8906_8906,1.000000,10205.902050
v5_2019_2_25_11.42_8906_8906_8906,1.000000,10330.975304
v5_2019_2_25_11.58_8906_8906_8906,1.000000,9962.369782
v5_2019_2_25_10.92_8906_8906_8906,1.000000,10120.796435
v5_2019_2_25_10.75_8906_8906_8906,1.000000,10241.789088
v5_2019_2_25_11.5_8906_8906_8906,1.000000,10417.832354
v5_2019_2_25_10.83_8906_8906_8906,1.000000,10124.204835
v5_2019_2_25_11.75_8906_8906_8906,0.983162,9671.277657
v5_2019_2_25_10.25_8906_8906_8906,1.000000,9337.778754
v5_2019_2_25_11.67_8906_8906_8906,1.000000,10807.825445
v5_2019_2_25_10.42_8906_8906_8906,1.000000,10097.636074
v5_2019_2_25_11.08_8906_8906_8906,1.000000,10499.834030
v5_2019_2_25_10.67_8906_8906_8906,1.000000,10471.553311
v5_2019_2_25_11.25_8906_8906_8906,1.000000,10237.437452
v5_2019_2_25_11.33_8906_8906_8906,1.000000,10127.102973
v5_2019_2_22_11.83_8908_8908_8908,0.330048,998.079212
v5_2019_2_22_11.42_8908_8908_8908,0.306269,488.504666
v5_2019_2_22_11.92_8908_8908_8908,0.352158,1130.666616
v5_2019_2_22_11.0_8908_8908_8908,0.393119,1211.845103
