;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-03-21T09:21:18	0.3344	0.3908	0.1905	0.501	68.81	-18.52	16.19	18328.3	21422.5	15063.91	0.3409	0.3927	0.3927	0.194	0.5027	68.95	-16.85	17.77	20157.59	23218.65	15752.28	5451	0.023	0.0226	534.52	329.06	231.64	555.3				73.837	84.2	79.7	88.9	94.6	78.8	81.1	88	90.2	72.1	19.8	79.3	77.1	76.6	81.5	95.9	71.6	1.8	3.5			
2	2019-03-21T09:21:48	0.3396	0.3927	0.1932	0.5025	68.95	-17.3	17.57	21412.54	24758.5	16875.1	0.3461	0.3944	0.3944	0.1966	0.5041	69.07	-15.61	19.09	23514.71	26793.78	17633.43	5284	0.022	0.0213	550.45	376.84	238.92	558.9				86.1682	85.1	81	89.6	95.1	80.1	82.2	88.7	90.8	73.7	25.3	80.3	78.6	77.6	82.7	96.3	73.3	1.7	3.4			
3	2019-03-21T09:22:18	0.3444	0.3943	0.1956	0.5039	69.06	-16.18	18.79	24624.64	28194.83	18685.54	0.3508	0.3958	0.3958	0.1991	0.5054	69.17	-14.49	20.28	27005.21	30472.61	19511.66	5140	0.02	0.0202	550.45	426.64	241.85	561.6				99.2303	86	82.2	90.2	95.5	81.3	83.2	89.2	91.3	75.1	30.3	81.3	79.9	78.4	83.8	96.7	74.9	1.7	3.2			
4	2019-03-21T09:22:48	0.3431	0.3939	0.1949	0.5035	69.03	-16.48	18.45	23024.07	26432.22	17654.54	0.3495	0.3954	0.3954	0.1984	0.5051	69.14	-14.79	19.94	25260.63	28577.52	18440.6	5179	0.021	0.0205	550.45	400.89	240.72	560.9				92.5607	85.7	81.8	90	95.4	80.9	82.9	89.1	91.1	74.6	28.6	81	79.5	78.2	83.4	96.6	74.4	1.7	3.3			
5	2019-03-21T09:23:18	0.3399	0.3928	0.1933	0.5026	68.96	-17.26	17.64	20568.91	23775.58	16178.42	0.3463	0.3945	0.3945	0.1968	0.5042	69.07	-15.57	19.16	22588.39	25727.77	16905.79	5278	0.022	0.0213	550.45	362.09	238.42	559				82.5616	85.1	81	89.6	95.1	80.1	82.2	88.6	90.8	73.5	25	80.3	78.5	77.5	82.6	96.3	73.2	1.7	3.4			
6	2019-03-21T09:23:49	0.3359	0.3914	0.1912	0.5015	68.86	-18.19	16.61	18095.23	21088.15	14689.31	0.3424	0.3932	0.3932	0.1947	0.5031	68.98	-16.5	18.17	19894.38	22845.32	15358.06	5402	0.023	0.0223	550.45	322.64	233.29	556.4				72.6621	84.3	79.9	89.1	94.7	79	81.3	88.2	90.3	72.3	20.7	79.4	77.4	76.8	81.7	96	71.9	1.8	3.5			
7	2019-03-21T09:24:19	0.3313	0.3896	0.189	0.5	68.72	-19.2	15.37	15920.42	18721.31	13410.96	0.3379	0.3916	0.3916	0.1924	0.5018	68.87	-17.55	16.97	17524.98	20309.61	14030.84	5552	0.024	0.0233	534.52	288.73	224.84	552.7				64.0828	83.6	78.8	88.5	94.2	77.9	80.5	87.7	89.9	71	16.2	78.6	76.2	76.1	80.7	95.7	70.4	1.8	3.6			
8	2019-03-21T09:24:49	0.3263	0.3874	0.1865	0.4984	68.57	-20.28	13.99	13914.91	16521.88	12207.4	0.3329	0.3897	0.3897	0.19	0.5003	68.73	-18.67	15.64	15337.34	17951.87	12780.45	5723	0.025	0.0244	534.52	257.55	213.07	547.7				56.2595	82.8	77.7	88	93.7	76.8	79.5	87.1	89.4	69.8	11.5	77.8	74.9	75.4	79.7	95.3	69	1.9	3.8			
9	2019-03-21T09:25:19	0.321	0.3849	0.184	0.4965	68.38	-21.35	12.47	12144.59	14560.96	11127.81	0.3276	0.3874	0.3874	0.1874	0.4985	68.56	-19.8	14.18	13403.9	15848.94	11659.13	5912	0.026	0.0255	509.47	230	208.07	540.6				49.4217	81.9	76.4	87.4	93.1	75.6	78.6	86.6	89	68.5	6.6	76.9	73.5	74.8	78.5	94.9	67.5	2	4			
