Place,Date,Time,Value,Unit
3208,2/25/19,10:15:06,2620,LUX     
3209,2/25/19,10:15:16,2690,LUX     
3210,2/25/19,10:15:26,2780,LUX     
3211,2/25/19,10:15:36,2940,LUX     
3212,2/25/19,10:15:46,3060,LUX     
3213,2/25/19,10:15:56,3190,LUX     
3214,2/25/19,10:16:06,3330,LUX     
3215,2/25/19,10:16:16,3440,LUX     
3216,2/25/19,10:16:26,3500,LUX     
3217,2/25/19,10:16:36,3590,LUX     
3218,2/25/19,10:16:46,3670,LUX     
3219,2/25/19,10:16:56,3800,LUX     
3220,2/25/19,10:17:06,3930,LUX     
3221,2/25/19,10:17:16,4040,LUX     
3222,2/25/19,10:17:26,4170,LUX     
3223,2/25/19,10:17:36,4280,LUX     
3224,2/25/19,10:17:46,4370,LUX     
3225,2/25/19,10:17:56,4460,LUX     
3226,2/25/19,10:18:06,4560,LUX     
3227,2/25/19,10:18:16,4640,LUX     
3228,2/25/19,10:18:26,4730,LUX     
3229,2/25/19,10:18:36,4760,LUX     
3230,2/25/19,10:18:46,4770,LUX     
3231,2/25/19,10:18:56,4780,LUX     
3232,2/25/19,10:19:06,4810,LUX     
3233,2/25/19,10:19:16,4850,LUX     
3234,2/25/19,10:19:26,4840,LUX     
3235,2/25/19,10:19:36,4820,LUX     
3236,2/25/19,10:19:46,4810,LUX     
3237,2/25/19,10:19:56,4800,LUX     
3238,2/25/19,10:20:06,4830,LUX     
3239,2/25/19,10:20:16,4860,LUX     
3240,2/25/19,10:20:26,4910,LUX     
3241,2/25/19,10:20:36,4960,LUX     
3242,2/25/19,10:20:46,5010,LUX     
3243,2/25/19,10:20:56,5090,LUX     
3244,2/25/19,10:21:06,5150,LUX     
3245,2/25/19,10:21:16,5220,LUX     
3246,2/25/19,10:21:26,5290,LUX     
3247,2/25/19,10:21:36,5320,LUX     
3248,2/25/19,10:21:46,5320,LUX     
3249,2/25/19,10:21:56,5310,LUX     
3250,2/25/19,10:22:06,5310,LUX     
3251,2/25/19,10:22:16,5260,LUX     
3252,2/25/19,10:22:26,5240,LUX     
3253,2/25/19,10:22:36,5180,LUX     
3254,2/25/19,10:22:46,5120,LUX     
3255,2/25/19,10:22:56,5060,LUX     
3256,2/25/19,10:23:06,4920,LUX     
3257,2/25/19,10:23:16,4850,LUX     
3258,2/25/19,10:23:26,4890,LUX     
3259,2/25/19,10:23:36,4920,LUX     
3260,2/25/19,10:23:46,4890,LUX     
3261,2/25/19,10:23:56,4940,LUX     
3262,2/25/19,10:24:06,5000,LUX     
3263,2/25/19,10:24:16,4970,LUX     
3264,2/25/19,10:24:26,4940,LUX     
3265,2/25/19,10:24:36,4910,LUX     
3266,2/25/19,10:24:46,4870,LUX     
3267,2/25/19,10:24:56,4830,LUX     
3268,2/25/19,10:25:06,4790,LUX     
3269,2/25/19,10:25:16,4770,LUX     
3270,2/25/19,10:25:26,4740,LUX     
3271,2/25/19,10:25:36,4710,LUX     
3272,2/25/19,10:25:46,4680,LUX     
3273,2/25/19,10:25:56,4640,LUX     
3274,2/25/19,10:26:06,4590,LUX     
3275,2/25/19,10:26:16,4550,LUX     
3276,2/25/19,10:26:26,4520,LUX     
3277,2/25/19,10:26:36,4500,LUX     
3278,2/25/19,10:26:46,4460,LUX     
3279,2/25/19,10:26:56,4420,LUX     
3280,2/25/19,10:27:06,4390,LUX     
3281,2/25/19,10:27:16,4360,LUX     
3282,2/25/19,10:27:26,4320,LUX     
3283,2/25/19,10:27:36,4300,LUX     
3284,2/25/19,10:27:46,4270,LUX     
3285,2/25/19,10:27:56,4250,LUX     
3286,2/25/19,10:28:06,4220,LUX     
3287,2/25/19,10:28:16,4190,LUX     
3288,2/25/19,10:28:26,4170,LUX     
3289,2/25/19,10:28:36,4140,LUX     
3290,2/25/19,10:28:46,4110,LUX     
