;GL_SpectroSoft	3.1.07
;SPX	6.4.2(0.7.2)
Pos	Name	x2	y2	u2'	v2'	L2	a2	b2	X2	Y2	Z2	x10	y10	y10	u10'	v10'	L10	a10	b10	X10	Y10	Z10	CCT	ChErr	Duv	ColPeak	ColPeakVal	Lambda2	ColDom	LumInt	LumEff	Purity	Radiometric	Ra	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	Mivis	Miuv	Binning	Brightness	Pass
										lx													K			nm		nm	nm				W/m²																					
1	2019-03-29T09:13:09	0.2419	0.317	0.1531	0.4514	63.09	-29.37	-15.88	357.2	468.05	651.29	0.2469	0.3261	0.3261	0.1539	0.4572	63.84	-30.46	-12.94	400.89	529.36	693.18	12428	0.036	0.0371	476.85	11.27	148.54	489.4				1.7494	71	59.7	80	83.2	59.1	67.5	79.9	83.6	54.9	0	66	54.2	70.1	62.9	88	49.6	3.2	5.8			
2	2019-03-29T09:13:39	0.2418	0.3169	0.1531	0.4514	63.09	-29.4	-15.91	349.58	458.18	637.96	0.2468	0.326	0.326	0.1538	0.4571	63.84	-30.48	-12.97	392.37	518.22	679.01	12431	0.036	0.0371	476.85	11.05	148.68	489.4				1.7137	70.9	59.6	79.9	83.1	59	67.5	79.9	83.5	54.8	0	66	54	70.1	62.8	88	49.5	3.2	5.8			
3	2019-03-29T09:14:09	0.2416	0.3167	0.153	0.4512	63.07	-29.41	-16	346.58	454.36	633.79	0.2466	0.3258	0.3258	0.1537	0.457	63.82	-30.5	-13.06	389.04	513.95	674.63	12531	0.036	0.0372	476.85	10.97	148.6	489.4				1.7011	70.9	59.5	79.9	83.2	59	67.4	79.8	83.6	54.8	0	65.8	54	70	62.7	88	49.4	3.2	5.8			
4	2019-03-29T09:14:39	0.2414	0.3165	0.1529	0.4511	63.05	-29.4	-16.06	340.56	446.45	623.56	0.2465	0.3256	0.3256	0.1537	0.4569	63.8	-30.49	-13.12	382.29	505.05	663.8	12567	0.036	0.0372	476.85	10.79	148.72	489.3				1.675	70.9	59.5	79.8	83.3	59	67.4	79.8	83.6	54.9	0	65.8	54	70	62.7	88	49.4	3.2	5.8			
5	2019-03-29T09:15:09	0.2413	0.3163	0.1529	0.4509	63.03	-29.4	-16.13	340.74	446.68	624.87	0.2463	0.3254	0.3254	0.1536	0.4567	63.79	-30.51	-13.2	382.47	505.38	665.2	12592	0.036	0.0372	476.85	10.81	148.44	489.3				1.6777	71	59.5	79.8	83.2	59.1	67.5	79.8	83.7	55	0	65.8	54	70	62.7	88	49.5	3.2	5.8			
6	2019-03-29T09:15:39	0.2411	0.316	0.1529	0.4507	63.01	-29.35	-16.23	340.85	446.65	626.08	0.2461	0.3251	0.3251	0.1536	0.4565	63.76	-30.48	-13.29	382.58	505.43	666.55	12631	0.036	0.0372	476.85	10.82	148.45	489.3				1.6786	71	59.6	79.9	83.3	59.2	67.5	79.8	83.7	55.2	0	65.9	54.1	70.1	62.8	88	49.7	3.2	5.8			
7	2019-03-29T09:16:09	0.2412	0.3158	0.153	0.4506	63	-29.27	-16.27	336.98	441.26	618.98	0.2461	0.325	0.325	0.1537	0.4565	63.75	-30.41	-13.32	378.2	499.36	658.98	12638	0.036	0.0371	476.85	10.69	148.41	489.3				1.6584	71.1	59.8	80	83.3	59.3	67.7	79.9	83.8	55.4	0	66.1	54.3	70.2	62.9	88	49.9	3.1	5.8			
8	2019-03-29T09:16:39	0.2414	0.3159	0.1531	0.4507	63	-29.2	-16.23	334.95	438.33	614.48	0.2463	0.325	0.325	0.1538	0.4565	63.75	-30.35	-13.29	375.91	496.01	654.24	12597	0.036	0.037	476.85	10.62	148.56	489.3				1.6462	71.2	59.9	80	83.3	59.4	67.7	80	83.7	55.4	0	66.2	54.4	70.3	63	88.1	50	3.1	5.8			
9	2019-03-29T09:17:09	0.2414	0.316	0.1531	0.4508	63.01	-29.23	-16.2	333.32	436.28	611.16	0.2464	0.3251	0.3251	0.1538	0.4566	63.76	-30.36	-13.26	374.1	493.66	650.67	12597	0.036	0.037	476.85	10.54	148.73	489.3				1.6369	71.1	59.8	80	83.3	59.3	67.7	80	83.7	55.2	0	66.1	54.3	70.3	63	88	49.8	3.2	5.8			
10	2019-03-29T09:17:39	0.2412	0.3158	0.1529	0.4506	62.99	-29.27	-16.27	330.59	432.91	607.3	0.2461	0.3249	0.3249	0.1537	0.4564	63.75	-30.39	-13.33	371.08	489.88	646.64	12641	0.036	0.0371	476.85	10.48	148.81	489.3				1.6253	71	59.6	79.9	83.2	59.2	67.6	79.9	83.7	55	0	65.9	54.2	70.2	62.8	88	49.6	3.2	5.8			
11	2019-03-29T09:18:09	0.2408	0.3156	0.1527	0.4505	62.98	-29.38	-16.36	328.78	431.03	605.83	0.2457	0.3248	0.3248	0.1534	0.4563	63.74	-30.51	-13.42	369.11	487.82	645.07	12726	0.036	0.0372	476.85	10.44	148.65	489.2				1.6196	70.9	59.4	79.8	83.2	59	67.4	79.7	83.7	54.9	0	65.6	53.9	69.9	62.6	88	49.4	3.2	5.8			
12	2019-03-29T09:18:39	0.2403	0.3152	0.1525	0.4501	62.94	-29.41	-16.53	331.14	434.3	612.55	0.2453	0.3244	0.3244	0.1533	0.456	63.7	-30.56	-13.58	371.79	491.66	652.3	12797	0.036	0.0373	476.85	10.56	148.53	489.2				1.6367	70.8	59.2	79.7	83.1	58.8	67.3	79.6	83.6	54.8	0	65.5	53.7	69.9	62.4	87.9	49.2	3.2	5.8			
13	2019-03-29T09:19:10	0.2402	0.3147	0.1526	0.4499	62.9	-29.3	-16.66	329.17	431.33	610.03	0.2451	0.3239	0.3239	0.1533	0.4558	63.67	-30.48	-13.71	369.55	488.39	649.71	12859	0.036	0.0372	476.85	10.5	148.44	489.1				1.631	71	59.5	79.8	83.2	59	67.4	79.7	83.8	55.2	0	65.7	53.9	70	62.6	88	49.6	3.2	5.8			
14	2019-03-29T09:19:40	0.2404	0.3147	0.1528	0.4499	62.9	-29.18	-16.65	332.48	435.17	615.26	0.2453	0.3239	0.3239	0.1534	0.4558	63.66	-30.38	-13.69	373.19	492.73	655.29	12859	0.036	0.037	476.85	10.6	148.4	489.1				1.6478	71.2	59.8	79.9	83.4	59.4	67.7	79.8	83.9	55.7	0	66	54.3	70.2	62.9	88.1	50	3.1	5.8			
15	2019-03-29T09:20:10	0.241	0.3151	0.1531	0.4502	62.94	-29.07	-16.46	339.98	444.42	626.03	0.2459	0.3243	0.3243	0.1537	0.4561	63.7	-30.26	-13.52	381.51	503.07	666.69	12734	0.036	0.0368	476.85	10.78	148.67	489.2				1.6817	71.4	60.2	80.1	83.4	59.7	68	80	84	56.1	0	66.3	54.7	70.4	63.3	88.2	50.5	3.1	5.8			
16	2019-03-29T09:20:40	0.2373	0.3087	0.1524	0.446	62.4	-28.35	-18.55	237.78	309.26	454.82	0.2419	0.3183	0.3183	0.1528	0.4521	63.2	-29.81	-15.54	266.94	351.14	485.22	13756	0.035	0.0364	476.85	7.73	147.76	488.4				1.1889	71.4	60.1	80.1	83	59.6	68.1	80.1	84	56.2	0	66.5	54.5	71	63.1	87.9	50.6	3.2	5.8			
17	2019-03-29T09:21:10	0.2415	0.3146	0.1535	0.45	62.89	-28.69	-16.55	322.33	419.9	592.6	0.2463	0.3237	0.3237	0.1541	0.4558	63.65	-29.89	-13.63	361.63	475.29	631.31	12726	0.035	0.0364	476.85	10.17	149.25	489.1				1.5889	71.8	60.8	80.4	83.6	60.2	68.4	80.3	84.1	56.5	0	66.8	55.3	70.8	63.8	88.3	51	3.1	5.8			
18	2019-03-29T09:21:40	0.2413	0.3145	0.1534	0.4499	62.88	-28.76	-16.6	315.83	411.69	581.59	0.2461	0.3236	0.3236	0.154	0.4557	63.64	-29.94	-13.68	354.4	466.01	619.67	12756	0.035	0.0365	476.85	9.97	149.47	489.1				1.5555	71.6	60.5	80.3	83.6	60	68.2	80.2	84.1	56.2	0	66.6	55.1	70.7	63.6	88.3	50.7	3.1	5.8			
19	2019-03-29T09:22:10	0.241	0.3149	0.1531	0.4501	62.92	-29.04	-16.52	318.83	416.68	587.66	0.2459	0.324	0.324	0.1538	0.4559	63.67	-30.17	-13.61	357.9	471.6	626.14	12756	0.036	0.0368	476.85	10.08	149.82	489.1				1.5711	71.3	59.9	80	83.5	59.6	67.8	79.9	84	55.6	0	66	54.5	70.3	63.1	88.2	50.1	3.1	5.8			
20	2019-03-29T09:22:40	0.2403	0.3147	0.1527	0.4499	62.91	-29.25	-16.64	316.96	415.13	586.86	0.2453	0.3238	0.3238	0.1534	0.4557	63.66	-30.38	-13.72	355.91	469.96	625.32	12859	0.036	0.0371	476.85	10.06	149.73	489.1				1.5672	71	59.5	79.7	83.4	59.2	67.5	79.7	83.9	55.2	0	65.6	54.1	70	62.6	88.1	49.6	3.2	5.8			
21	2019-03-29T09:23:10	0.2397	0.3143	0.1523	0.4496	62.87	-29.38	-16.83	324.49	425.58	603.9	0.2446	0.3235	0.3235	0.153	0.4554	63.63	-30.54	-13.89	364.42	481.98	643.5	12964	0.036	0.0373	476.85	10.35	149.16	489.1				1.6112	70.8	59.2	79.6	83.3	58.9	67.3	79.5	83.8	55.1	0	65.3	53.7	69.9	62.3	88	49.3	3.2	5.8			
22	2019-03-29T09:23:40	0.24	0.3143	0.1526	0.4496	62.87	-29.25	-16.79	325.04	425.75	603.7	0.2449	0.3235	0.3235	0.1532	0.4555	63.63	-30.44	-13.84	364.93	482.17	643.24	12889	0.036	0.0372	476.85	10.36	149.17	489.1				1.6178	71.1	59.6	79.8	83.2	59.3	67.6	79.7	83.9	55.6	0	65.8	54.1	70.3	62.7	88	49.8	3.2	5.8			
23	2019-03-29T09:24:14	0.2309	0.2983	0.151	0.4389	61.51	-27.35	-21.95	142.59	184.24	290.72	0.2351	0.3084	0.3084	0.1509	0.4455	62.38	-29.22	-18.86	160.28	210.25	311.12	16607	0.034	0.0361	475.03	4.83	146.77	487.2				0.7298	71.4	59.6	79.7	83.2	59.5	68.1	79.8	84.5	56.9	0	65.4	54.2	71	62.5	88	50.5	3.4	6			
24	2019-03-29T09:24:41	0.2347	0.3026	0.1524	0.442	61.88	-27.25	-20.41	175.83	226.67	346.57	0.239	0.3125	0.3125	0.1524	0.4484	62.72	-29.01	-17.37	197.38	258.08	370.43	14991	0.034	0.0355	476.85	5.82	147.35	487.6				0.8928	72.2	61.1	80.6	83.2	60.6	69	80.6	84.5	57.9	0	67.3	55.5	72	64	88.1	52	3.2	5.9			
25	2019-03-29T09:25:10	0.2456	0.3149	0.1562	0.4507	62.92	-27.05	-15.99	332.18	425.93	594.48	0.2501	0.3238	0.3238	0.1567	0.4564	63.65	-28.32	-13.17	371.93	481.5	633.71	12203	0.033	0.034	476.85	10.17	151.69	489				1.6392	74.2	64.4	82.2	84.6	63.5	71.1	82.1	85.2	60.2	0	70.2	59.2	73.1	67.1	89.1	55.3	2.8	5.7			
26	2019-03-29T09:25:40	0.2492	0.3171	0.1581	0.4525	63.1	-26.3	-15.01	347.44	442.04	604.64	0.2537	0.3257	0.3257	0.1585	0.4579	63.81	-27.48	-12.26	388.58	498.86	644.42	11619	0.032	0.0328	476.85	10.38	153.76	489.2				1.696	75.2	66.1	83.2	85	65	72.4	83.1	85.5	61.5	0	71.9	61.1	74.3	68.8	89.4	57.1	2.7	5.7			
27	2019-03-29T09:26:10	0.2525	0.3197	0.1595	0.4545	63.32	-25.86	-13.93	363.11	459.74	614.99	0.257	0.328	0.328	0.1601	0.4597	64	-26.93	-11.24	405.8	517.92	655.19	11119	0.031	0.032	476.85	10.61	156.29	489.5				1.7515	75.8	67.2	83.8	85.3	65.8	73.2	83.8	85.6	61.9	0	73	62.2	74.9	69.9	89.7	58	2.6	5.6			
